Partner,Email,Account Manager,Account ,Region,Specialisms,Turnover of Prospects,Employee No. of Prospects,Sectors Covered
Test Company 310,sample@Test Company 310.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,Yorkshire,Central Scotland,Wales","Cloud,Connectivity,CRM,Document Management,ERP,Finance,GDPR,Infrastructure,Invoice Automation,IT Security,IT Support,MS,Office 365,Sharepoint,Storage Capacity,Virtualisation,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 376,sample@Test Company 376.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,BI,Cloud,CRM,Disaster Recovery,ERP,Finance,Infrastructure,IT Security,IT Support,MS,Office 365,Sharepoint,Storage Capacity","C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure"
Test Company 379,sample@Test Company 379.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","BI,Cloud,CRM,E Commerce,ERP,Finance,GDPR,HR Software,Infrastructure,MRP,MS,Storage Capacity,Warehouse Management","E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Retail and Leisure,Construction"
Test Company 413,sample@Test Company 413.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 422,sample@Test Company 422.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Central Scotland,Wales","Cloud,CRM","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Construction"
Test Company 459,sample@Test Company 459.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,BI,CRM,E Commerce,ERP,Finance,IT Support,Mobile Solution,MRP,Telecoms,Warehouse Management,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Retail and Leisure"
Test Company 460,sample@Test Company 460.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing"
Test Company 504,sample@Test Company 504.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 505,sample@Test Company 505.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 511,sample@Test Company 511.com,Dannii Griffin,New Dist,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,Cloud,CRM,Document Management,E Commerce,ERP,HR Software,Invoice Automation,MRP,Warehouse Management","C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 523,sample@Test Company 523.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Cloud,CRM,ERP,Finance","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 538,sample@Test Company 538.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 546,sample@Test Company 546.com,Sean Maher,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","BI,Cloud,CRM,ERP,Finance,MRP","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 568,sample@Test Company 568.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Central Scotland","Cloud,CRM,Document Management,Infrastructure,IT Support,MS,Office 365,Sharepoint,Virtualisation","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Retail and Leisure,Construction"
Test Company 594,sample@Test Company 594.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","BI,CRM,E Commerce,ERP,Warehouse Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 596,sample@Test Company 596.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","BI,CRM,ERP,Finance,Warehouse Management","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M","B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Retail and Leisure,Construction"
Test Company 630,sample@Test Company 630.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
